cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2019,year_2020,year_2021,year_2022,year_2023,project_total,start_year,end_year
2018,25,City Facilities,Homeless Assistance Facilites,U_VJ01,F_1V43,Citywide,,500000,0,500000,1500000,3000000,15000000,0,0,20000000,2019,2021
2018,25,City Facilities,Martin Controls Luther King Jr. Center - HVAC,U_VH14,F_1V60,7,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,25,City Facilities,"Martin Plumbing Luther King, Jr. Center -",U_VH09,F_1V60,7,,0,0,0,125000,0,0,0,0,125000,2019,2019
2018,25,City Facilities,Municipal Courts Building,U_T830,F_8T30,14,,382147,335202,46945,0,0,0,0,0,382147,,
2018,25,City Facilities,Oak Cliff Municipal Center,U_VH10,F_1V60,1,,0,0,0,0,150000,1850000,0,0,2000000,2020,2021
2018,25,City Facilities,Storage Facility,U_VH01,F_1V60,10,,0,0,0,325000,0,0,0,0,325000,2019,2019
2018,25,City Facilities,West Dallas Multipurpose Center,U_VH13,F_1V60,6,,0,0,0,2500000,0,0,0,0,2500000,2019,2019
2018,26,City Facilities,Fire Locations] Station Abatement - [Various,U_T860,F_8T33,Citywide,,560000,179341,380659,0,0,0,0,0,560000,,
2018,26,City Facilities,Fire Stations Modifications - Storm Water,U_T844,F_2T33,Citywide,,1063257,66526,996731,0,0,0,0,0,85000,,
2018,26,City Facilities,Fire-Rescue Training Center,U_VG01,F_1V33,2,,0,0,0,150000,0,0,0,0,150000,2019,2019
2018,26,City Facilities,Fire Station # 46,U_VG02,F_1V33,6,,0,0,0,7525000,0,0,0,0,7525000,2019,2019
2018,26,City Facilities,Fire Station # 53,U_VG03,F_1V33,7,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,26,City Facilities,Fire Station #05,U_VG04,F_1V33,5,,0,0,0,45000,0,0,0,0,45000,2019,2019
2018,26,City Facilities,Fire Station #08,U_VG05,F_1V33,2,,0,0,0,104000,0,0,0,0,104000,2019,2019
2018,26,City Facilities,Fire Station #09,U_VG06,F_1V33,8,,0,0,0,63000,0,0,0,0,63000,2019,2019
2018,26,City Facilities,Fire Station #11,U_VG07,F_1V33,14,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,26,City Facilities,Fire Station #12,U_VG08,F_1V33,3,,0,0,0,83000,0,0,0,0,83000,2019,2019
2018,"26, 27",City Facilities,Fire Station #13,U_VG09,F_1V33,12,,0,0,0,129000,0,0,0,0,129000,2019,2019
2018,26,City Facilities,Fire Station #18,U_VG10,F_1V33,14,,0,0,0,113000,0,0,0,0,113000,2019,2019
2018,26,City Facilities,Fire Station #24,U_VG11,F_1V33,7,,0,0,0,92000,0,0,0,0,92000,2019,2019
2018,26,City Facilities,Fire Station #25,U_VG12,F_1V33,8,,0,0,0,17000,0,0,0,0,17000,2019,2019
2018,26,City Facilities,Fire Station #36,U_VG13,F_1V33,3,,0,0,0,6990000,0,0,0,0,6990000,2019,2019
2018,26,City Facilities,Fire Station_#43,U_VG14,F_1V33,6,,0,0,0,43000,0,0,0,0,43000,2019,2019
2018,26,City Facilities,Fire Station #51,U_VG15,F_1V33,5,,0,0,0,43000,0,0,0,0,43000,2019,2019
2018,26,City Facilities,Fire Station #1,U_VG16,F_1V33,6,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,26,City Facilities,Fire Station #7,U_VG17,F_1V33,12,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,26,City Facilities,Fire Station #11B,U_VG18,F_1V33,14,,0,0,0,101000,0,0,0,0,101000,2019,2019
2018,26,City Facilities,Fire Station #21,U_VG19,F_1V33,2,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,26,City Facilities,Fire Station_#31,U_VG20,F_1V33,9,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,26,City Facilities,Fire Station #45,U_VG21,F_1V33,6,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #52,U_VG22,F_1V33,3,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #53,U_VG23,F_1V33,7,,0,0,0,74000,0,0,0,0,74000,2019,2019
2018,27,City Facilities,Fire Station #2,U_VG24,F_1V33,13,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #5,U_VG25,F_1V33,5,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #14,U_VG27,F_1V33,1,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #19,U_VG28,F_1V33,2,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #47,U_VG29,F_1V33,6,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,Fire Station #57,U_VG30,F_1V33,10,,0,0,0,85000,0,0,0,0,85000,2019,2019
2018,27,City Facilities,12 Future Fire Station Jim Miller - Loop,U_VG31,F_1V33,8,,0,0,0,6900000,0,0,0,0,6900000,2019,2019
2018,27,City Facilities,Life Bureau Safety - Professional Standards,U_VG32,F_1V33,2,,0,0,0,250000,0,0,0,0,250000,2019,2019
2018,27,City Facilities,Fire Training Facility Auditorium,U_W044,F_2T33,2,,17051,0,17051,0,0,0,0,0,85000,,
2018,27,City Facilities,Dallas Replacement Fire-Rescue - Ambulance,U_E367,F_ML19,Citywide,,0,0,0,8551000,7796000,1650000,0,0,17997000,2019,2021
2018,27,City Facilities,Dallas Replacement Fire-Rescue - Apparatus,U_E375,F_ML19,Citywide,,0,0,0,6449000,7204000,7150000,0,0,20803000,2019,2021
2018,27,City Facilities,Fleet Equipment and Replacement Building Services -,U_E368,F_ML17,Citywide,,3745435,3655261,90174,0,0,0,0,0,3745435,,
2018,27,City Facilities,to ML Sanitation FY18 Fleet Purchase in Addition,U_W318,F_0593,Citywide,,6736718,0,6736718,0,0,0,0,0,6736718,,
2018,27,City Facilities,to ML Sanitation FY19 Fleet Purchase in Addition,U_W319,F_0593,Citywide,,0,0,0,8000000,0,0,0,0,8000000,2019,2019
2018,27,City Facilities,to ML Sanitation FY20 Fleet Purchase in Addition,U_W320,F_0593,Citywide,,0,0,0,0,8036371,0,0,0,8036371,2020,2020
2018,27,City Facilities,to ML Sanitation FY21 Fleet Purchase in Addition,U_W321,F_0593,Citywide,,0,0,0,0,0,5000000,0,0,5000000,2021,2021
2018,27,City Facilities,to ML Sanitation FY22 Fleet Purchase in Addition,U_W322,F_0593,Citywide,,0,0,0,0,0,0,2500000,0,2500000,2022,2022
2018,28,City Facilities,to ML Sanitation FY23 Fleet Purchase in Addition,U_W323,F_0593,Citywide,,0,0,0,0,0,0,0,2500000,2500000,2023,2023
2018,28,City Facilities,Central Library - Elevators,U_W156,F_1P42 / F_3R42 / F_6R42 / F_6T42 / F_7T42 / F_8T42,2,,1068934,0,1068934,0,0,0,0,0,1068934,,
2018,28,City Facilities,Central Replacement Library - 1st Floor,U_W155,F_6T42,2,,163000,0,163000,0,0,0,0,0,163000,,
2018,28,City Facilities,Central Renovation Library - 6th Floor,U_W266,5R42 / 6R42 / 2T42 / 6T42 / 8T42 / BT42,2,,2130294,0,2130294,0,0,0,0,0,2130294,,
2018,28,City Facilities,Forest Green Branch Library,U_VE01,F_1V42,10,,6700000,0,6700000,1000000,0,0,0,0,7700000,2019,2019
2018,28,City Facilities,J.Erik Jonsson Central Library,U_VE02,F_1V42,2,,0,0,0,99000,0,0,0,0,99000,2019,2019
2018,28,City Facilities,Vickery Meadow Branch Library,U_VE03,F_1V42,13,,800000,0,800000,5490000,1500000,0,0,0,7790000,2019,2020
2018,28,City Facilities,Animal Shelter Major Maintenance,U_P916,F_0P46,6,,7562,0,7562,0,0,0,0,0,7562,,
2018,29,City Facilities,CIP Engineering-City Serv,U_CR03,F_3R60,Citywide,,506321,381431,124890,0,0,0,0,0,506321,,
2018,29,City Facilities,City Facilities Improvements,U_W221,F_0671,Citywide,,5000000,1274794,3725206,6000000,6500000,5000000,5000000,5000000,32500000,2019,2023
2018,29,City Facilities,City Hall,U_VH05,F_1V60,2,,375000,0,375000,6625000,0,0,0,0,7000000,2019,2019
2018,29,City Facilities,City Hall - Install automatic fire alarm,U_T738,F_7T60,2,,1389908,1281139,108769,0,0,0,0,0,1389908,,
