cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Cultural Facilities,54,Cultural Facilities,Arts District Improvements,,,9625000,9625000,0,0,0,0
2007,Cultural Facilities,54,Cultural Facilities,Arts Incubator,,,555521,555521,0,0,0,0
2007,Cultural Facilities,54,Cultural Facilities,Asian American Cultural Center,2008,2008,105000,350000,245000,0,0,0
2007,Cultural Facilities,54,Cultural Facilities,City Performance Hall,2009,2009,7340773,37865396,0,30524623,0,0
2007,Cultural Facilities,54,Cultural Facilities,Dallas Artist Square,,,8663119,8663119,0,0,0,0
2007,Cultural Facilities,54,Cultural Facilities,Dallas Black Dance Theater Center,,,4799066,4799066,0,0,0,0
2007,Performing Arts Theater,54,Cultural Facilities,Dallas Center for the Performing Arts - Phase I,,,2239126,2239126,0,0,0,0
2007,Major Maintenance - Cultural Facilities,55,Cultural Facilities,Dallas Heritage Village (Old City Park),,,0,325000,0,0,0,325000
2007,Major Maintenance - Cultural Facilities,55,Cultural Facilities,Dallas Museum of Art,2008,2008,1333557,3133557,1800000,0,0,0
2007,Major Maintenance - Cultural Facilities,55,Cultural Facilities,Dallas Museum of Natural History,2010,2010,0,2150000,0,0,2150000,0
2007,Studies and Master Plans - Cultural Facilities,55,Cultural Facilities,Dallas Theater Center,2008,2009,0,1290000,220000,1070000,0,0
2007,Major Maintenance - Park Facilities,56,Cultural Facilities,Hall of State,2008,2008,1497000,7485000,5988000,0,0,0
2007,Cultural Facilities,56,Cultural Facilities,Latino Cultural Center - Phase II,2008,2009,0,957226,478613,478613,0,0
2007,Cultural Facilities,56,Cultural Facilities,Latino Cultural Center,2010,2010,0,2770885,0,0,2770885,0
2007,Cultural Facilities,56,Cultural Facilities,Latino Cultural Center Phase II (Design),,,868006,868006,0,0,0,0
2007,Major Maintenance - Cultural Facilities,56,Cultural Facilities,Majestic and Fair Park Music Hall Improvements,2008,2008,0,160000,160000,0,0,0
2007,Major Maintenance - Cultural Facilities,56,Cultural Facilities,Majestic Theater Center,2008,2009,0,1254000,454000,800000,0,0
2007,Major Maintenance - Cultural Facilities,56,Cultural Facilities,Majestic Theatre Center,,,126000,126000,0,0,0,0
2007,Major Maintenance - Cultural Facilities,56,Cultural Facilities,Morton H. Meyerson Symphony Center,2010,2010,0,1400000,0,0,1400000,0
2007,Municipal Radio Improvements,56,Cultural Facilities,Municipal Radio Station Improvements and Equipment,,,2564657,2564657,0,0,0,0
2007,Major Maintenance - Cultural Facilities,56,Cultural Facilities,Music Hall Improvements,,,29305,29305,0,0,0,0
2007,Cultural Facilities,56,Cultural Facilities,Oak Cliff Arts Incubator/Cultural Center,,,1882233,1882233,0,0,0,0
2007,Cultural Facilities,57,Cultural Facilities,Old City Park,,,987025,987025,0,0,0,0
2007,Performing Arts Theater,57,Cultural Facilities,Performing Arts Theater,,,11126426,11126426,0,0,0,0
2007,Major Maintenance - Cultural Facilities,57,Cultural Facilities,Science Place/IMAX,2008,2008,0,850000,850000,0,0,0
2007,Major Maintenance - Cultural Facilities,57,Cultural Facilities,South Dallas Cultural Center,,,223000,223000,0,0,0,0
2007,Cultural Facilities,57,Cultural Facilities,South Dallas Cultural Center Renovation,,,1662939,1662939,0,0,0,0
2007,Cedars Tax Increment Financing District,63,Cultural Facilities,1500 1506 1510 McKee St.,,,60350,60350,0,0,0,0
2007,City Center Tax Increment Financing District,63,Cultural Facilities,1524 Main,,,7969675,7969675,0,0,0,0
2007,City Center Tax Increment Financing District,63,Cultural Facilities,1530 Main St.,,,4935959,4935959,0,0,0,0
2007,Public Private Partnership,63,Cultural Facilities,7-Eleven Inc. (One Arts Plaza),2008,2008,0,400000,400000,0,0,0
2007,City Center Tax Increment Financing District,63,Cultural Facilities,Akard St./Young St. to Bryan Streetscape,,,818557,818557,0,0,0,0
2007,Cedars Tax Increment Financing District,63,Cultural Facilities,Buzz Condos,,,464462,464462,0,0,0,0
2007,Cedars Tax Increment Financing District,63,Cultural Facilities,Cedars TIF Public Improvements,2008,2008,346206,536326,190120,0,0,0
2007,Cedars Tax Increment Financing District,63,Cultural Facilities,Cedars Miscellaneous/Professional Services,,,127408,127408,0,0,0,0
2007,Cedars Tax Increment Financing District,63,Cultural Facilities,Cedars TIF Administration,2008,2008,464175,539175,75000,0,0,0
2007,City Center Tax Increment Financing District,64,Cultural Facilities,City Center TIF,2008,2008,33244443,36646716,3402273,0,0,0
2007,Cityplace Tax Increment Financing District,64,Cultural Facilities,Cityplace TIF,2008,2008,22309469,28767848,6458379,0,0,0
2007,Southwestern Medical Tax Increment Financing District,64,Cultural Facilities,Cityville at Southwestern Medical,,,1440000,1440000,0,0,0,0
2007,City Center Tax Increment Financing District,64,Cultural Facilities,Dallas County Courthouse Plaza Improvements,,,2625000,2625000,0,0,0,0
2007,Public Private Partnership,64,Cultural Facilities,Dallas Eco-Business Park (McCommas),,,4275230,4275230,0,0,0,0
2007,City Center Tax Increment Financing District,65,Cultural Facilities,Dallas Power and Lighting Building Redevelopment,,,6503159,6503159,0,0,0,0
2007,Downtown Connection Tax Increment Financing District,65,Cultural Facilities,Downtown Connection TIF,2008,2008,1529640,3226705,1697065,0,0,0
2007,Public Private Partnership,65,Cultural Facilities,Downtown Retail Phase II,,,1219900,1219900,0,0,0,0
2007,Economic and Business Development,65,Cultural Facilities,Economic and Business Development in the Southern Area,,,5961000,5961000,0,0,0,0
2007,Infrastructure Support,65,Cultural Facilities,Economic Development,2008,2010,1626440,13020844,893250,2030296,4700748,3770110
2007,Public Private Partnership,65,Cultural Facilities,Economic Redevelopment,,,3056194,3056194,0,0,0,0
