cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2022,2023,2024
2022,Water Treatment Plants and Associated Facilities,200,Water Capital Program,East Side Water Tr Pl - Fa - PW32,PW32.5,2022,2022,0,7500000,6000000,0,0
2022,Water Supply Reservoirs and Dams,200,Water Capital Program,East Side Water Tr Pl - Fa-CW32,CW32.1,2022,2022,44738276,44958438,220162,0,0
2022,Water Treatment Plants and Associated Facilities,201,Water Capital Program,East Side Water Tr Pl - Fa-CW32,CW32.2,2022,2022,0,3000000,3000000,0,0
2022,Water Treatment Plants and Associated Facilities,201,Water Capital Program,Elm Fork Water Tr Pl - Fac - PW31,PW31.1,2022,2024,16159792,269088780,25928988,"25,000,000","66,000,000"
2022,Water Treatment Plants and Associated Facilities,201,Water Capital Program,Elm Fork Water Tr Pl - Fac - PW31,PW31.2,2022,2022,117639333,117207619,(431715),0,0
2022,Water Treatment Plants and Associated Facilities,201,Water Capital Program,Elm Fork Water Tr Pl - Fac - PW31,PW31.3,2022,2022,212931953,383427658,170495705,0,0
2022,Water Supply Reservoirs and Dams,201,Water Capital Program,Elm Fork Water Tr Pl - Fac- CW31,CW31.1,2022,2024,50228932,102652341,36223409,0,"5,700,000"
2022,Homeowner Extensions and Unserved Areas,201,Sewer Capital Program,Future Development Initiatives - Wastewater - CS97,CS97.1,2022,2022,0,8500000,8500000,0,0
2022,Homeowner Extensions and Unserved Areas,201,Water Capital Program,Future Development Initiatives - Water - CW97,CW97.1,2022,2022,0,8500000,8500000,0,0
2022,"Mains, Pump Stations, and Associated Facilities",201,Sewer Capital Program,Home/Unserv Exten & Improv - PS41,PS41.1,,,1132299,1132299,0,0,0
2022,Relocations in Advance of Paving,202,Sewer Capital Program,Home/Unserv Exten & Improv - PS41,PS41.2,2022,2022,11000,129565,118565,0,0
2022,Homeowner Extensions and Unserved Areas,202,Sewer Capital Program,Home/Unserv Exten & Improv - PW41,PW41.1,2022,2022,0,500000,500000,0,0
2022,"Mains, Pump Stations, and Associated Facilities",202,Water Capital Program,Home/Unserv Exten & Improv - PW41,PW41.2,,,760770,760770,0,0,0
